artifact_id,path_or_url,type,subsystem,source_of_truth,owner_or_origin,evidence_status,notes
SRC-001,"../đề tài của tôi.png",user_input,project_scope,user_provided_attachment,student,EXISTING,"Đề tài, mục tiêu, chức năng, lựa chọn công nghệ và prompt mẫu."
SRC-002,"../yêu cầu của môn học.png",course_criteria,course_requirements,user_provided_attachment,course,EXISTING,"Tiêu chí xuyên suốt học phần; gồm ba bài kiểm tra thường xuyên và bài thi cuối, không dùng làm các báo cáo độc lập."
SRC-003,"../it-thesis-research-documentation-engineer/SKILL.md",method,all,local_skill_package,student,READ,"Skill v3.0.0; authority order, evidence discipline, visuals, evaluation."
SRC-004,"../it-thesis-research-documentation-engineer/references/full-project-workflow.md",method,all,local_skill_package,student,READ,"Workflow fingerprint, traceability, editable source and QA."
SRC-005,"../it-thesis-research-documentation-engineer/references/project-documentation-package.md",method,documentation,local_skill_package,student,READ,"Documentation package and design decision expectations."
SRC-006,"https://www.iso.org/standard/72089.html",standard,requirements,primary_official_source,ISO,CONSULTED,"ISO/IEC/IEEE 29148 requirements engineering."
SRC-007,"https://www.iso.org/standard/74393.html",standard,architecture,primary_official_source,ISO,CONSULTED,"ISO/IEC/IEEE 42010 architecture description."
SRC-008,"https://www.iso.org/standard/78176.html",standard,quality,primary_official_source,ISO,CONSULTED,"ISO/IEC 25010 product quality model."
SRC-009,"https://c4model.com/diagrams",guidance,architecture,primary_official_source,Simon Brown,CONSULTED,"C4 views and diagram selection."
SRC-010,"https://www.cst.cam.ac.uk/teaching/part-ii/projects/dissertation",guidance,reporting,university_guidance,University of Cambridge,CONSULTED,"Distinguish own work, prior work, implementation and evaluation."
SRC-011,"https://www.cst.cam.ac.uk/teaching/part-ii/projects/assessment",guidance,evaluation,university_guidance,University of Cambridge,CONSULTED,"Assessment emphasizes goals, evidence and evaluation."
SRC-012,"https://www.cs.cmu.edu/~prs/cap/Final.html",guidance,reporting,university_guidance,Carnegie Mellon University,CONSULTED,"Coherent capstone report, architecture, implementation and evaluation."
SRC-013,"https://doi.org/10.1509/jm.15.0413",paper,marketing_analytics,peer_reviewed_literature,Wedel and Kannan,CONSULTED,"Marketing analytics in data-rich environments."
SRC-014,"https://doi.org/10.1007/s11747-020-00749-9",paper,ai_marketing,peer_reviewed_literature,Huang and Rust,CONSULTED,"Strategic roles of AI in marketing."
SRC-015,"https://doi.org/10.1145/3290605.3300233",paper,human_ai,peer_reviewed_literature,Amershi et al.,CONSULTED,"Human-AI interaction guidelines."
SRC-016,"https://www.nist.gov/itl/ai-risk-management-framework",standard,ai_governance,primary_official_source,NIST,CONSULTED,"AI risk management framework."
SRC-017,"https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf",standard,generative_ai,primary_official_source,NIST,CONSULTED,"Generative AI profile and risk considerations."
SRC-018,"https://www.hubspot.com/products/marketing/analytics",product_doc,marketing_analytics,official_product_source,HubSpot,CONSULTED,"Reference for campaign/analytics workflow; not a benchmark claim."
SRC-019,"https://www.facebook.com/help/289207354498410/r.php/",product_doc,channel_metrics,official_product_source,Meta,CONSULTED,"Reference for page insights concepts; not an integration commitment."
