requirement_id,requirement,type,priority,source,design_element,implementation_artifact,verification_method,test_id,evidence_result,status,report_section
FR01,"Người dùng đăng nhập bằng email và mật khẩu.",functional,HIGH,SRC-001,"users; auth boundary; /auth/login","CHƯA CÓ - trước code","positive/negative login test",T01,"Chưa có runtime evidence; thiết kế và test plan đã có.",DESIGNED,"Chương 3; Chương 4"
FR02,"Backend kiểm tra vai trò Manager/Marketer ở thao tác nhạy cảm.",functional,HIGH,SRC-001,"RBAC; actor permissions; approve boundary","CHƯA CÓ - trước code","role and permission test",T01,"Chưa có runtime evidence; thiết kế và test plan đã có.",DESIGNED,"Chương 3; Chương 4"
FR03,"Quản lý dữ liệu nền gồm nhóm sản phẩm sản phẩm và kênh.",functional,MEDIUM,SRC-001,"product_categories; products; marketing_channels","CHƯA CÓ - trước code","CRUD and FK test","T02;T03","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR04,"Tạo và quản lý campaign với mục tiêu sản phẩm thời gian ngân sách và người phụ trách.",functional,HIGH,SRC-001,"campaigns schema; campaign rules; campaign API","CHƯA CÓ - trước code","CRUD and validation test",T02,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR05,"Quản lý phân công người dùng trong campaign.",functional,HIGH,SRC-001,"campaign_members; assignment rule","CHƯA CÓ - trước code","assignment and scope test",T02,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR06,"Tạo bản nháp nội dung gắn với campaign channel và người tạo.",functional,HIGH,SRC-001,"marketing_contents; content state; content API","CHƯA CÓ - trước code","content CRUD and fixture test",T05,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR07,"Gửi duyệt chấp thuận hoặc từ chối nội dung.",functional,HIGH,SRC-001,"content state machine; content_reviews","CHƯA CÓ - trước code","workflow and negative permission test",T05,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR08,"Tạo sửa và hủy lịch cho nội dung đã được chấp thuận.",functional,HIGH,SRC-001,"marketing_schedules; approval rule","CHƯA CÓ - trước code","state and schedule negative test",T05,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR09,"Nhập views clicks conversions cost và revenue theo ngày và kênh.",functional,HIGH,SRC-001,"campaign_metrics; unique grain; KPI formulas","CHƯA CÓ - trước code","fixture and zero-denominator test",T06,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
FR10,"Tìm kiếm lọc sắp xếp campaign và xem báo cáo theo thời gian và kênh.",functional,MEDIUM,SRC-001,"query parameters; dashboard read model","CHƯA CÓ - trước code","query and dashboard test","T04;T06","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 7"
FR11,"AI gợi ý ý tưởng theo objective audience product và channel.",functional,HIGH,SRC-001,"AI task IDEA; context whitelist; output contract","CHƯA CÓ - trước code","schema grounding and permission test","T07;T08;T10","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 6; Chương 7"
FR12,"AI tạo caption hoặc email draft theo format kênh.",functional,HIGH,SRC-001,"AI task DRAFT; prompt contract; AI_DRAFT state","CHƯA CÓ - trước code","parser warning and review test","T08;T09;T10","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 6; Chương 7"
FR13,"AI tóm tắt hiệu quả và gợi ý cải thiện từ metrics đã chọn.",functional,HIGH,SRC-001,"AI task SUMMARY; metrics context selector","CHƯA CÓ - trước code","grounding missing-data and output test","T06;T10","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 6; Chương 7"
FR14,"Lưu audit log cho thao tác quan trọng và lần gọi AI.",functional,MEDIUM,SRC-001,"ai_logs; content_reviews; redaction policy","CHƯA CÓ - trước code","audit completeness and redaction test",T11,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5; Chương 6"
NFR01,"Quyền truy cập theo role và record scope.",quality,HIGH,SRC-002,"RBAC dependency; context authorization","CHƯA CÓ - trước code","negative permission and secret scan","T01;T07;T11","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 4; Chương 6"
NFR02,"Dữ liệu có FK unique check và transaction rule.",quality,HIGH,SRC-002,"SQLite schema; service transaction boundary","CHƯA CÓ - trước code","schema inspection and negative DB test","T03;T06","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5"
NFR03,"Giao diện và truy vấn có chỉ số đo được về phản hồi.",quality,MEDIUM,SRC-002,"UI state contract; query and AI measurement plan","CHƯA CÓ - trước code","p50/p95 and error-rate measurement",T14,"Chưa có runtime evidence; ngưỡng sẽ chốt trước khi đo.",DESIGNED,"Chương 3; Chương 7"
NFR04,"Luồng giao diện rõ và có loading empty error state.",quality,MEDIUM,SRC-002,"wireframe; workflow; error-state design","CHƯA CÓ - trước code","task completion and UI checklist",T13,"Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 5; Chương 7"
NFR05,"AI xử lý timeout rate limit schema error và context dài có kiểm soát.",quality,HIGH,SRC-002,"failure matrix; adapter deadline/retry; draft preservation","CHƯA CÓ - trước code","fault injection and output validation","T08;T09;T10","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 6; Chương 7"
NFR06,"Có hướng dẫn cài đặt seed test và backup/restore để tái lập.",quality,MEDIUM,SRC-002,"README/runbook plan; deployment target; manifest","CHƯA CÓ - trước code","fresh setup and restore exercise","T12;T15","Chưa có runtime evidence.",DESIGNED,"Chương 3; Chương 7; Phụ lục"
