claim_id,claim,claim_type,evidence_artifact,evidence_location,status,confidence,report_section,notes
CLM-001,"Đề tài là hệ thống quản lý chiến dịch marketing có tích hợp AI.","project_fact","SRC-001","ảnh đề tài, tiêu đề và mô tả bài toán",EXISTING,high,"Mở đầu; Chương 1","Nguồn do người dùng cung cấp."
CLM-002,"Mục tiêu gồm quản lý campaign/channel/content/budget/schedule/metrics và ba tác vụ AI.","project_fact","SRC-001","ảnh đề tài, mục 2 và 3",EXISTING,high,"Chương 1; Chương 6","Không mở rộng thành các use case ngoài đề bài."
CLM-003,"Tiêu chí môn học bao phủ phân tích, thiết kế, code, AI, test, bảo mật, triển khai và báo cáo.","course_fact","SRC-002","ảnh yêu cầu môn học, ba bài kiểm tra thường xuyên và bài thi cuối",EXISTING,high,"Mở đầu; Chương 7","Được dùng làm quality gates của cùng một sản phẩm, không chia báo cáo thành các bài riêng."
CLM-004,"Báo cáo hiện tại là baseline trước khi code.","project_status","V8 commitment; research_pack","chapters/commitment.tex; project-research-plan.md",EXISTING,high,"Cam kết; Chương 8","Không tuyên bố implementation/runtime."
CLM-005,"Requirements cần nối tới design, verification và evidence.","design_principle","SRC-003; SRC-006","SKILL.md; ISO 29148 source inventory",DESIGNED,high,"Chương 3; Phụ lục A","Sẽ cập nhật implementation artifact sau khi code."
CLM-006,"Kiến trúc dùng context/container và các view bổ sung theo câu hỏi người đọc.","design_decision","SRC-009; SRC-003","figures/context.tex; figures/container.tex",DESIGNED,high,"Chương 4","C4 là định hướng biểu diễn, không phải bằng chứng runtime."
CLM-007,"SQLite được chọn cho prototype với repository boundary để có thể đổi DB.","design_decision","ADR table; design/schema.sql","chapters/chapter4.tex; design/schema.sql",PROPOSED,medium,"Chương 4; Chương 5","Cần kiểm chứng concurrency nếu mở rộng."
CLM-008,"AI chỉ tạo idea/draft/summary, không tự approve/publish.","design_decision","SRC-001; figures/ai-pipeline.tex","chapters/chapter6.tex; figures/ai-pipeline.tex",DESIGNED,high,"Chương 6","Human review là control bắt buộc."
CLM-009,"AI context được giới hạn theo whitelist và quyền đọc.","design_decision","chapters/chapter6.tex; design/schema.sql","Bảng context whitelist; ai_logs",DESIGNED,high,"Chương 6","Cần test permission và redaction sau khi code."
CLM-010,"ERD có FK, unique, check và state rules.","design_decision","design/schema.sql; figures/erd-core.tex; figures/erd-ops.tex","DDL và figure sources",DESIGNED,high,"Chương 5","DDL chưa được chạy trong ứng dụng."
CLM-011,"Metrics dùng grain campaign/channel/date và KPI có mẫu số an toàn.","design_decision","design/schema.sql; chapters/chapter5.tex","campaign_metrics; công thức KPI",DESIGNED,high,"Chương 5","Cần fixture và query test."
CLM-012,"Đánh giá AI phải báo cả case fail, config và output gốc.","evaluation_plan","evaluation-plan.md; chapters/chapter7.tex","research_pack; bảng protocol",PLANNED,high,"Chương 7; Phụ lục B","Chưa có output model thật."
CLM-013,"Mỗi hình kỹ thuật có source LaTeX editable.","artifact_fact","figures/*.tex; visual-coverage-map.csv","V8 figure sources",EXISTING,high,"Danh mục hình; các chương 1--7","Logo là ảnh cung cấp; sơ đồ kỹ thuật là TikZ."
CLM-014,"Không có bằng chứng hệ thống đã chạy hoặc đã đạt performance.","limitation","V8 commitment; project-research-plan.md","status vocabulary; limitations table",UNKNOWN,high,"Cam kết; Chương 8","Unknown có chủ ý, không phải thiếu sót bị che."
